# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is astrolab, 
#     and thy time is Tue Mar 13 15:58:11 2018
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> Off
#   <Limb darkening>        quadratic
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  6.405e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    92.019  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    27.692     13.846   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>          5.637      3.361   (dimensionless)
#   <Polar Radius>     0.356      0.466   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.022      0.013   (m kg/s^2)
#   <Polar Radius>  5.31e+10   6.96e+10   (meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    76.279     99.979   (solar radius)
# 
#   <Mean Temp.>      5702.9     5702.5   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      1.300              (dimensionless)
#   <Temperature>     5700.0     5700.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           0.500      0.500   (dimensionless)
#   <Grav. Dark.>      0.097      0.097   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        4.6946   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Fillout Factor>                   0.9328   (dimensionless)
#   <Surface Potential Secondary>      2.5973   (dimensionless)
#   <... in Primary frame>             4.6946   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     2.42034e+14     3.60722e+14
#   Band   1:     3.08216e+14     4.62025e+14
#   Band   2:     3.36423e+14     5.10849e+14
#   Band   3:     3.17054e+14     4.84885e+14
#   Band   4:     2.46313e+14     3.79451e+14
#   Band   5:     9.38502e+13     1.45841e+14
#   Band   6:     4.57799e+13     7.14004e+13
#   Band   7:     1.74684e+13     2.73123e+13
#   Band   8:     2.22609e+14     3.30468e+14
#   Band   9:     2.88868e+14     4.31897e+14
#   Band  10:     3.19477e+14     4.80021e+14
#   Band  11:     3.35795e+14     5.09661e+14
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
#  <      V Band>  Mean Residual   0.036677   SDV Residuals    0.00452
#        Runs      12    Upper Limit    116    Lower Limit      87
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     6.02756e+14            0.75
#   Band   1:     7.70242e+14            0.75
#   Band   2:     8.47272e+14            0.75
#   Band   3:      8.0194e+14            0.75
#   Band   4:     6.25764e+14            0.75
#   Band   5:     2.39692e+14            0.75
#   Band   6:      1.1718e+14            0.75
#   Band   7:     4.47807e+13            0.75
#   Band   8:     5.53077e+14            0.75
#   Band   9:     7.20765e+14            0.75
#   Band  10:     7.99498e+14            0.75
#   Band  11:     8.45456e+14            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
  0 -0.2500 602755818964436.125000 770241797603519.250000 847271748964611.000000 801939717699206.875000 625763758678828.250000 239691503325427.375000 117180294084348.609375 44780717927397.976562 553076836774518.125000 720764810194835.375000 799497878391344.125000 845456304645003.375000       -27.3       12.97
  1 -0.2375 602066932834955.875000 769572620682490.125000 846525197259425.000000 801225255532205.875000 625225439815046.625000 239504790685020.093750 117087201598387.937500 44747700955167.140625 552458871358727.750000 720106273403497.875000 798833275051032.000000 844721200265626.500000      -26.92       13.15
  2 -0.2250 597966936437024.000000 764524357894765.000000 841333929035260.625000 796516118233229.500000 621731517637631.500000 238260650671081.343750 116494931881367.484375 44528332047007.179688 548627121296397.437500 715323020484831.250000 793661045804795.625000 839532755694250.625000      -26.41        13.3
  3 -0.2125 590436751143459.750000 755074578872252.625000 831655033858901.125000 787758056369744.625000 615229439490682.375000 235934405253484.625000 115390780144998.437500 44117218878577.171875 541569921005753.812500 706391732379331.375000 783957413164877.875000 829848677522382.375000      -25.76       13.42
  4 -0.2000 579692074146971.250000 741479397822037.875000 817801544176158.500000 775280700610895.375000 606005117598051.125000 232651111119375.125000 113839106571102.343750 43540781160181.468750 531476353439060.375000 693562616190741.000000 769984592263128.875000 815979825854526.375000      -24.99       13.49
  5 -0.1875 565965374357894.000000 724029206528401.500000 800068876882787.000000 759351764010456.625000 594258030026927.250000 228482672986527.812500 111874142362298.453125 42811830669738.390625 518564770260191.875000 677111666848131.000000 752039935963083.625000 798221892937361.750000      -24.09       13.52
  6 -0.1750 549497105474078.562500 703034160526280.375000 778747418329462.875000 740217495450860.875000 580158937657713.500000 223484763489589.625000 109520857913028.281250 41939286892223.507812 503067770619297.562500 657332740778250.750000 730440221839459.375000 776867065787117.750000      -23.08       13.51
  7 -0.1625 530630707937651.125000 678937165883351.500000 754276764826528.375000 718269937144755.375000 563997168568156.375000 217761482411098.906250 106828436184033.390625 40941711679763.890625 485311868668563.312500 634644940457664.625000 705639821703611.250000 752356416627170.000000      -21.96       13.44
  8 -0.1500 509739509710574.562500 652226046746667.375000 727114402150358.500000 693891750028356.000000 546032214717442.562500 211393502045767.187500 103832115182975.156250 39831091934082.921875 465658677654023.875000 609505718370395.625000 678139506745470.625000 725150226484710.625000      -20.74       13.32
  9 -0.1375 487285597902639.812500 623496661894149.875000 697849820163227.250000 667603289105887.875000 526641545172225.625000 204512093487199.343750 100592840993390.937500 38629915647351.390625 444547136476128.437500 582477286612435.625000 648551284205166.875000 695840016874077.375000      -19.43       13.12
 10 -0.1250 463694209067498.250000 593306527968076.000000 666994585435304.375000 639820973804127.000000 506095941849794.125000 197194192540018.562500 97142211514753.875000 37348054849365.054688 422391267249094.062500 554081210385160.437500 617447412946696.625000 664941105202900.875000      -18.03       12.86
 11 -0.1125 439164978966048.812500 561927059595982.562500 634680486330529.750000 610556526312258.750000 484311624004172.687500 189360336168979.406250 93430670335353.296875 35962660240098.062500 399411368596125.437500 524572615006960.625000 585098301013784.250000 632592860026962.750000      -16.55       12.55
 12 -0.1000 414150914842534.000000 529956862295758.687500 601512433832339.125000 580351538082266.125000 461691230194917.500000 181157626507625.968750 89528290760224.265625 34500231602237.097656 376037784710925.250000 494510591112086.687500 552122815369778.125000 599401906045018.500000         -15       12.17
 13 -0.0875 388473240516954.125000 497169808899090.250000 567088771327367.875000 548735204324704.500000 437794899311177.250000 172382140742502.000000 85326720588509.468750 32917224969448.757812 352137903936613.125000 463695484947337.812500 518270459587168.687500 564975009796525.375000      -13.37       11.78
 14 -0.0750 363360907724699.375000 465129723943962.562500 533237944538706.000000 517507558427355.125000 414083151663986.937500 163621083791803.375000 81119492262318.875000 31327935124068.039062 328815551324405.187500 433586824577273.812500 485173216053482.687500 531131477750153.125000      -11.67       11.29
