2457007.87421 bb   14.735 0.021   4.897 0.093
2457008.87810 bb   14.029 0.012   9.385 0.100
2457009.88673 bb   14.174 0.011   8.208 0.081
2457010.88728 bb   14.281 0.009   7.441 0.065
2457011.87656 bb   14.727 0.019   4.933 0.088
2457021.84480 bb   14.220 0.014   7.872 0.099
2457037.82945 bb   14.152 0.012   8.374 0.090
2457040.82748 bb   14.497 0.011   6.094 0.064
2457043.82885 bb   14.417 0.012   6.561 0.071
2457044.82520 bb   14.803 0.023   4.598 0.099
2457061.78789 bb   14.266 0.010   7.539 0.066
2457069.77108 bb   14.278 0.012   7.457 0.083
2457078.74885 bb   14.158 0.013   8.332 0.102
2457096.76933 bb   14.249 0.011   7.658 0.076
2457223.12467 bb   14.340 0.057   7.049 0.367
2457227.11433 bb   14.313 0.012   7.224 0.079
2457236.10965 bb   14.539 0.031   5.868 0.167
2457244.10039 bb   14.433 0.013   6.464 0.080
2457263.03100 bb   14.254 0.020   7.624 0.140
2457270.10869 bb   14.501 0.023   6.073 0.129
2457272.02216 bb   14.579 0.016   5.653 0.082
2457275.02012 bb   14.201 0.010   8.005 0.076
2457285.08576 bb   14.197 0.012   8.041 0.091
2457289.12515 bb   14.442 0.012   6.413 0.071
2457303.99173 bb   14.215 0.011   7.907 0.079
2457308.91720 bb   14.302 0.009   7.294 0.060
2457314.89678 bb   14.364 0.012   6.891 0.074
2457317.88182 bb   14.163 0.015   8.297 0.113
2457319.10988 bb   14.281 0.012   7.436 0.079
2457320.88166 bb   14.250 0.016   7.656 0.115
2457324.93717 bb   14.456 0.025   6.332 0.144
2457329.00406 bb   14.245 0.012   7.692 0.082
2457332.95388 bb   14.256 0.009   7.612 0.066
2457357.00517 bb   14.666 0.022   5.216 0.107
2457357.88410 bb   14.929 0.027   4.095 0.102
2457359.85658 bb   14.176 0.011   8.196 0.085
2457363.95685 bb   14.479 0.012   6.198 0.070
2457374.82511 bb   14.244 0.011   7.695 0.077
2457380.92376 bb   14.925 0.055   4.111 0.208
2457383.72981 bb   14.594 0.018   5.574 0.090
2457387.78238 bb   14.258 0.010   7.599 0.072
2457391.90500 bb   14.366 0.008   6.879 0.050
2457395.81100 bb   14.217 0.013   7.892 0.097
2457398.87172 bb   14.211 0.010   7.935 0.072
2457403.77865 bb   14.178 0.011   8.178 0.084
2457406.87318 bb   14.178 0.017   8.176 0.129
2457409.88896 bb   14.688 0.031   5.115 0.148
2457412.84469 bb   14.736 0.035   4.891 0.158
2457413.80127 bb   14.266 0.015   7.546 0.101
2457415.79430 bb   14.591 0.016   5.594 0.080
2457419.84095 bb   14.290 0.008   7.379 0.057
2457422.84561 bb   14.210 0.012   7.942 0.087
2457423.76283 bb   14.369 0.013   6.861 0.079
2457428.83223 bb   14.846 0.023   4.423 0.093
2457438.80435 bb   14.149 0.020   8.397 0.152
2457442.79382 bb   14.206 0.022   7.971 0.164
2457444.78647 bb   14.980 0.030   3.908 0.107
2457448.77191 bb   14.822 0.023   4.520 0.094
2457451.76123 bb   14.331 0.010   7.101 0.063
2457458.75722 bb   14.225 0.011   7.832 0.081
2457630.05270 bb   14.222 0.010   7.857 0.072
2457639.06987 bb   14.224 0.011   7.840 0.076
2457654.07628 bb   14.778 0.025   4.706 0.107
2457658.00971 bb   14.276 0.010   7.473 0.070
2457669.06016 bb   14.177 0.010   8.185 0.078
2457672.91441 bb   14.219 0.014   7.873 0.098
2457674.08429 bb   14.163 0.011   8.296 0.084
2457674.90966 bb   14.766 0.036   4.758 0.158
2457677.97233 bb   14.342 0.033   7.032 0.213
2457681.06966 bb   14.316 0.021   7.202 0.137
2457687.99501 bb   14.201 0.011   8.009 0.079
2457695.03842 bb   14.256 0.010   7.615 0.072
2457695.95090 bb   14.182 0.011   8.152 0.081
2457698.84302 bb   14.888 0.026   4.254 0.100
2457699.95379 bb   14.177 0.012   8.186 0.091
2457702.87329 bb   14.361 0.016   6.908 0.101
2457705.87665 bb   14.186 0.022   8.117 0.165
2457708.96787 bb   14.261 0.024   7.579 0.167
2457710.96719 bb   14.881 0.032   4.279 0.124
2457715.82583 bb   14.733 0.019   4.906 0.086
2457719.91277 bb   14.157 0.011   8.337 0.084
2457735.91672 bb   14.424 0.027   6.522 0.160
2457744.96871 bb   14.652 0.016   5.286 0.080
2457747.96993 bb   14.193 0.011   8.066 0.078
2457755.90465 bb   14.687 0.018   5.117 0.084
2457758.78494 bb   14.136 0.012   8.498 0.096
2457762.83459 bb   14.803 0.034   4.599 0.144
2457766.87728 bb   14.234 0.018   7.765 0.129
2457769.90998 bb   14.451 0.016   6.361 0.093
2457788.75941 bb   14.212 0.011   7.925 0.079
2457794.82806 bb   14.174 0.021   8.212 0.159
2457797.78967 bb   14.196 0.014   8.044 0.100
2457799.73336 bb   14.183 0.010   8.140 0.077
2457825.73619 bb   14.189 0.018   8.094 0.137
2457965.11251 bb   14.142 0.012   8.452 0.091
2457971.09106 bb   14.819 0.023   4.534 0.096
2457972.08682 bb   14.309 0.018   7.247 0.121
2457976.07810 bb   14.247 0.016   7.676 0.112
2457977.07780 bb   14.160 0.017   8.317 0.128
2457982.08618 bb   14.171 0.011   8.231 0.083
2457989.09022 bb   14.312 0.010   7.228 0.065
2457997.05398 bb   14.177 0.012   8.189 0.088
